input1,input2,output1,output2
[-8712 7876 6321 -541 7538],-836,-8712,7876
[3182 -3683 -7850 5584 -9652 -4731 -1820 -8538 -3 9308 5621 4900 3525 -4942 -9482 -4089 9078 1166],890,-4731,5621
[3985 -6731 -4289 -9661 2276],-2746,3985,-6731
[14 -35 78],43,-35,78
[-3790 7641 -1663 6516 -7075 2503 5557 -2258 7892 2918 4900 2535 -9843 -5768 7840 -3709],-4943,4900,-9843
[-2723 -7372 -1603 -6493 4596 -2024 -6535 381 -6476 -5227 -3282 2315 7485 -1944 -9897 -9636],-6095,381,-6476
[8310 -8320],-10,8310,-8320
[0 1234],1234,0,1234
[2558 3677 2848 -2447 3149],1230,3677,-2447
[9546 -5742 -8659 5298],14844,9546,5298
[-4 4],0,-4,4
[-2156 2808 5575],8383,2808,5575
[-1 0 1],1,0,1
[-9100 -1911 -2150 9609],-11011,-9100,-1911
[3148 4296 -2360 -5754 7024],11320,4296,7024
[-9678 8301 1705 -4207 -3153 3666 -7549 -9154 4569 -2508],-1448,1705,-3153
[-9747 7882 1806 5531 -2057],5825,7882,-2057
[7079 5800 -6781 -6401 6310 -242 -9415 1351 -8845],-1766,7079,-8845
[67 321 -3755 -2522],-3434,321,-3755
[-5080 -2176 -2005 -6575 3503],-1577,-5080,3503
[-14 5],-9,-14,5
[3437 7905 -3641 -8731],4264,7905,-3641
[5372 4725 2271 -590],4135,4725,-590
[9492 -3791 -7317],2175,9492,-7317
[-9664 8051 4990 4198 5230 -4335 -5492 994 1256 -256 9894 -9569 -7492 -5408 7260 -2441 100],8516,1256,7260
[-1805 8780 -614 -235 -5427 -39 1094 7554 -455 9838 7572 4739],7117,-455,7572
[-3508 6942 8542 -3735 4842 -3315 -8645 -1346 -6442 5524 -4054 -7279 5260 -1952 -6863 9539],-5460,-3508,-1952
[-6137 5528 3842 -648 -2213 -7881 8743 27 -6901 -8379 8313 7849 -5861 -7023 3180 2648 -8114],10961,8313,2648
[1346 -4391 -5060 -9176 1905 2235 -6754 -7155 -5632 -366 4558 1778 -2158 -9599],-13567,-4391,-9176
[-1 0 1],0,-1,1
[6370 9223 1143 -2242 4 -9670 4287 -5571 6291 -9207 8385 8179 -136],-1491,-9670,8179
[-5716 9157 6480 2033 -4211 3162 7277 2455 1510 -3229 -9021 8050],-2178,2033,-4211
[-3296 787 -6541 -6427 -6852 4667 4097 -3920 -3888 7790 -159],938,-6852,7790
[-3405 2426 249 4789 4228 2946 8948 -5293 -269 4305 7293 -5309 9166 6886],7024,-269,7293
[6002 -4825 -2300 9816 -3719 -6045 -7275 9232 -5412 7103 6609 -470 6156 -3316 -7700 -1739 1003 5738 -8888 6637],-1962,-7700,5738
[237 410 -777],647,237,410
[-8674 -8460 9370 -1750 -5400 5963 -2458 -6642 6468 6463],-4208,-1750,-2458
[277 3127 -188 1445 7641 3412 -2483 -5357 -3457 6542],-5080,277,-5357
[1432 -1180 9488 7774],10920,1432,9488
[2859 1122 -8998 4126],-6139,2859,-8998
[-7887 5439 388 -7038 -5081 -1787 7503 8697 -6346],-5958,388,-6346
[3085 -4615 -4840 7622 -6043 6375 -5280 -3767 -2926 -8478 -3141],-13758,-5280,-8478
[1 3 5],4,1,3
[1 3 5],6,1,5
[7348 5500 3539 -1736 -26 2551 -4248 -1223 -3046 4318 6150 2675 7034],1272,-3046,4318
[3174 -8792 -6758 -4497 -3264 -1690 8446 964],4138,3174,964
[-248 -7053 1999 430],-5054,-7053,1999
[-310 -5786 5266 6166 1473 -1512 -7349 -8753 -2091 -4889 7821 8755 -3656],1277,6166,-4889
[-4165 3030 4327 -8278 3151 -8603 7659 -8930],-5900,3030,-8930
[6366 3277 -7791],9643,6366,3277
[9492 -3791 -7317],5701,9492,-3791
[4331 7921 -7566 1805],6136,4331,1805
[9492 -3791 -7317],-11108,-3791,-7317
[2650 6057 7986 5430],8080,2650,5430
[1435 4488 -9727 -1775 3294],-5239,4488,-9727
[2500 6352],8852,2500,6352
[6191 860],7051,6191,860
[1 3 5],8,3,5
[-4228 -1725 6089 -3398],-5123,-1725,-3398
[-6189 -1480 3485 8190],2001,-6189,8190
[5 7],12,5,7
[-4235 -7568 1434 46 1277 -8384 3537 -7018],-4189,-4235,46
[5589 9095 2200 -9135 -2562 4220 -6735 -7555 6771 9738 -3971 -563 1906 5094 -7087 -8289 3436 562 1220 9637],1348,-8289,9637
[-5 -20],-25,-5,-20
[-7831 -3001],-10832,-7831,-3001
[-6920 6200 18 6924 -7697 -2560 -919 -9648 5069 2224 9363 1956 -5941 -4707 -4218 9032 222 -3669],8880,6924,1956
[-6844 -1152 -7838 5872],-14682,-6844,-7838
[-3596 -8618 914 1361 5563 -7627 1045 -4142 7038 4425 -8869 -1586 4753 3396 -5483 -231 -3158 2241],-2064,5563,-7627
[-8329 -3773 7031 -1194 -6101 8668 -5243 3484 3742 -1533 -6120 -6553 -9744 7398],-6776,-5243,-1533
[4742 2691 -2860 5513 2172 -9231],7685,5513,2172
[5312 5115 -9056 -5603],-3744,5312,-9056
[-1 0 1],-1,-1,0
[237 410 -777],-367,410,-777
[14 -35 78],92,14,78
[-9865 9976 1016 -4594 -6628 -2813 5095 -8116 612 2666 2014 -82 -7852 3023 -2942 9924 -1854 -2945 6416],-6016,-6628,612
[1492 7016 879 -2143 -5842 -2551 -3084 -4262 -2351],-4694,-2143,-2551
[-519 -6377 9514 8326 8174],3137,-6377,9514
[6284 -3841 -8184 -6381],-14565,-8184,-6381
[1455 -2399 437 9128 -8345 -3180 2916 6560 9418 -9534 243 -9598],15978,6560,9418
[2920 -6275 8680 8184 -4232],3952,8184,-4232
[-1278 7229 5383 -7152 2043 -7038 2514 3067 5779],1789,-1278,3067
[-1603 4158 -8259 -9372 4932],-17631,-8259,-9372
[4923 861 -3130 -8940],5784,4923,861
[-507 -9699 5698 -5407],-4001,-9699,5698
[3761 -1416 -3804],-43,3761,-3804
[-7279 2845 -5272 8822 -7482 -7167 -2587 6096 493 8974 -729 5381 8518],824,-5272,6096
[1018 -3991 -153 -9209 1364 1584 7655 2705 -9333 -7028 -1519 5135],2552,-153,2705
[9859 -6964 -7144 8740 5224 -8321 6774 3033 -2469 -1007 1428 -703 4569 -5355 4925 -7638 -9924],-3931,-6964,3033
[4933 -493 -5559 7094 3434 -8726 8444 -3957 -4222 -7185],-3751,3434,-7185
[-7587 8053 8362 -3408 -6903 4796 -4394 9446 9302 4024 9747 -5759 -2237 -8521],5353,-4394,9747
[237 410 -777],-540,237,-777
[-2867 -5176 -5452 -986 4567 6388 -3013 -3612 -3079 -8166 -216],-11033,-2867,-8166
[14 -35 78],-21,14,-35
[6911 -2501 433 -9851 3637 -6014 6599 -6859 -1036 5741 -3074 -103 -9184 4725],-8515,-2501,-6014
[10000 -10000],0,10000,-10000
[-5334 -6415 1923 733],-5682,-6415,733
[-3290 -9812 -4630],-7920,-3290,-4630
[-1342 -555 392 5810 7338 8291 9153 -2782 -2462 -9655 -9016 -6100 -8288 -9672 -6784 8562 1045 -2626 -7917 6845],-1581,1045,-2626
[-3923 5489 3904 -9980],-19,-3923,3904
[40 -19],21,40,-19
