input1,input2,output1,output2
[1455 -2399 437 9128 -8345 -3180 2916 6560 9418 -9534 243 -9598],15978,6560,9418
[5 7],12,5,7
[5372 4725 2271 -590],4135,4725,-590
[-7279 2845 -5272 8822 -7482 -7167 -2587 6096 493 8974 -729 5381 8518],824,-5272,6096
[-5 -20],-25,-5,-20
[9730 -3047 -8453 -5822 -4344 2208 -8817 -4202 -2363 3006 7027 2867 -3893 -9484 7424 -1669 4243],-6565,-4202,-2363
[40 -19],21,40,-19
[-4897 -5945 -5459 6843 -1648 8507 -9278 -1483 4252 6115 8024 -2795 393 5066 -1283 8079 -2124 -7079],11181,6115,5066
[4923 861 -3130 -8940],5784,4923,861
[9124 -5117 -9333 4995 7894 -6865 9661 -502 3900 -8646 -8284 -5141 4534 -3284 -2888 7518 -1604 -4761],4544,-5117,9661
[2650 6057 7986 5430],8080,2650,5430
[4742 2691 -2860 5513 2172 -9231],7685,5513,2172
[-519 -6377 9514 8326 8174],3137,-6377,9514
[-6189 -1480 3485 8190],2001,-6189,8190
[-9664 8051 4990 4198 5230 -4335 -5492 994 1256 -256 9894 -9569 -7492 -5408 7260 -2441 100],8516,1256,7260
[-7244 4503 4467 -4201 -8571],-12772,-4201,-8571
[9546 -5742 -8659 5298],14844,9546,5298
[-248 -7053 1999 430],-5054,-7053,1999
[-4165 3030 4327 -8278 3151 -8603 7659 -8930],-5900,3030,-8930
[7079 5800 -6781 -6401 6310 -242 -9415 1351 -8845],-1766,7079,-8845
[-7286 7118 -1852 -1963 7388 -7604],5536,-1852,7388
[3577 1520],5097,3577,1520
[-2723 -7372 -1603 -6493 4596 -2024 -6535 381 -6476 -5227 -3282 2315 7485 -1944 -9897 -9636],-6095,381,-6476
[277 3127 -188 1445 7641 3412 -2483 -5357 -3457 6542],-5080,277,-5357
[-3790 7641 -1663 6516 -7075 2503 5557 -2258 7892 2918 4900 2535 -9843 -5768 7840 -3709],-4943,4900,-9843
[-6576 -967 -3705 8066 -9612 9870],-10579,-967,-9612
[6366 3277 -7791],9643,6366,3277
[2327 -5857 5867 6678 2148 3920 9934 -1274 4701 8586 6159 6316 -7477 -8499 6812 226 -8048],8826,6678,2148
[5292 6749 3244 4106 -7071 7883 -21],12041,5292,6749
[-1342 -555 392 5810 7338 8291 9153 -2782 -2462 -9655 -9016 -6100 -8288 -9672 -6784 8562 1045 -2626 -7917 6845],-1581,1045,-2626
[3182 -3683 -7850 5584 -9652 -4731 -1820 -8538 -3 9308 5621 4900 3525 -4942 -9482 -4089 9078 1166],890,-4731,5621
[9492 -3791 -7317],5701,9492,-3791
[3085 -4615 -4840 7622 -6043 6375 -5280 -3767 -2926 -8478 -3141],-13758,-5280,-8478
[1018 -3991 -153 -9209 1364 1584 7655 2705 -9333 -7028 -1519 5135],2552,-153,2705
[1492 7016 879 -2143 -5842 -2551 -3084 -4262 -2351],-4694,-2143,-2551
[-1 0 1],1,0,1
[1 3 5],6,1,5
[-4228 -1725 6089 -3398],-5123,-1725,-3398
[2511 -2055 -5912],-7967,-2055,-5912
[-4073 -6710 3486 8108 -3861 -1245 -7083 -722 2033 -8191 4380 -2815 6411 -5035 -5672],9897,3486,6411
[8423 -4471 4112 -8802 -74 7363 -2369 -9386 -8717 -6331 -3796 4642 -3754],8754,4112,4642
[-1603 4158 -8259 -9372 4932],-17631,-8259,-9372
[237 410 -777],-540,237,-777
[2920 -6275 8680 8184 -4232],3952,8184,-4232
[0 1234],1234,0,1234
[5416 5348 3157 1276 8854 -1342 9392 -3300 5300 3820 7627 4123 -4096 7722 6893 -2531 -893],2769,5300,-2531
[-4235 -7568 1434 46 1277 -8384 3537 -7018],-4189,-4235,46
[1346 -4391 -5060 -9176 1905 2235 -6754 -7155 -5632 -366 4558 1778 -2158 -9599],-13567,-4391,-9176
[-7127 -3088 -3730 898 1952],2850,898,1952
[9492 -3791 -7317],2175,9492,-7317
[-6349 5792 -5057 -7902 -4667 -3021 -3539 2533 8281],10814,2533,8281
[-3923 5489 3904 -9980],-19,-3923,3904
[-7994 2634 4098 9789 -2883 -3968 -7553],-15547,-7994,-7553
[3985 -6731 -4289 -9661 2276],-2746,3985,-6731
[-6137 5528 3842 -648 -2213 -7881 8743 27 -6901 -8379 8313 7849 -5861 -7023 3180 2648 -8114],10961,8313,2648
[2558 3677 2848 -2447 3149],1230,3677,-2447
[1014 791 4336 -6438 4724 1213 -3028 7209 103 -7561],-5225,-6438,1213
[-6920 6200 18 6924 -7697 -2560 -919 -9648 5069 2224 9363 1956 -5941 -4707 -4218 9032 222 -3669],8880,6924,1956
[-8629 9967 5109 1728 -9134 -4044 -3639 8600 9961 2780 -6182 7513 8409 6541 1665],6774,5109,1665
[4370 -3390 4716 -9383 33 3969 -1198 7380 2194 -3070 -3986 -8648 4912],980,4370,-3390
[-7887 5439 388 -7038 -5081 -1787 7503 8697 -6346],-5958,388,-6346
[7679 -1259 8870 2147],6420,7679,-1259
[-4 4],0,-4,4
[-3296 787 -6541 -6427 -6852 4667 4097 -3920 -3888 7790 -159],938,-6852,7790
[-4777 1251 5302 -6739 -5047 -3089],-11786,-6739,-5047
[-3361 5898 4809 -5899 -8994 3194 2183 9664 8101 -9506 2539 4187 5017 -6143 284 -7813],-17319,-9506,-7813
[-5716 9157 6480 2033 -4211 3162 7277 2455 1510 -3229 -9021 8050],-2178,2033,-4211
[6284 -3841 -8184 -6381],-14565,-8184,-6381
[8310 -8320],-10,8310,-8320
[14 -35 78],92,14,78
[67 321 -3755 -2522],-3434,321,-3755
[3148 4296 -2360 -5754 7024],11320,4296,7024
[-1490 -9395 -5459 -6289 6195 -2202 723 -6666 -7723 9520 9707 -170 -5452 3740 7685 -4380 901 -6651],2226,-5459,7685
[-8947 -3173 5320 8400 -5992 8723 -9122 -6883 7092],-14939,-8947,-5992
[-1858 2873 -7559 1184 9110 3823 -5254 5876 -7817 -1894],1965,-1858,3823
[10000 -10000],0,10000,-10000
[-14 5],-9,-14,5
[-5080 -2176 -2005 -6575 3503],-1577,-5080,3503
[6370 9223 1143 -2242 4 -9670 4287 -5571 6291 -9207 8385 8179 -136],-1491,-9670,8179
[9859 -6964 -7144 8740 5224 -8321 6774 3033 -2469 -1007 1428 -703 4569 -5355 4925 -7638 -9924],-3931,-6964,3033
[-7587 8053 8362 -3408 -6903 4796 -4394 9446 9302 4024 9747 -5759 -2237 -8521],5353,-4394,9747
[-1906 8254 6265 -9064 -8241 -2520 -4953 4209 9076 5589 -6408 -332 -5860 -3950 -2147 777 -3145 -4885 3359],-2199,4209,-6408
[1544 8462 7062 4108 -1463 2670 5052 8137 -3094 -4980 7927],4214,1544,2670
[14 -35 78],43,-35,78
[-9678 8301 1705 -4207 -3153 3666 -7549 -9154 4569 -2508],-1448,1705,-3153
[2739 -6093 4135],-3354,2739,-6093
[-8620 -1133 7201 988 8938 4908 -9239 -2938 6981 -9143 -7109 -3931 -3833 8010],-10942,-7109,-3833
[-3508 6942 8542 -3735 4842 -3315 -8645 -1346 -6442 5524 -4054 -7279 5260 -1952 -6863 9539],-5460,-3508,-1952
[6191 860],7051,6191,860
[1435 4488 -9727 -1775 3294],-5239,4488,-9727
[-1278 7229 5383 -7152 2043 -7038 2514 3067 5779],1789,-1278,3067
[-9865 9976 1016 -4594 -6628 -2813 5095 -8116 612 2666 2014 -82 -7852 3023 -2942 9924 -1854 -2945 6416],-6016,-6628,612
[7348 5500 3539 -1736 -26 2551 -4248 -1223 -3046 4318 6150 2675 7034],1272,-3046,4318
[-8329 -3773 7031 -1194 -6101 8668 -5243 3484 3742 -1533 -6120 -6553 -9744 7398],-6776,-5243,-1533
[-7562 5238 5750 -5719],31,5750,-5719
[2500 6352],8852,2500,6352
[3437 7905 -3641 -8731],4264,7905,-3641
[5312 5115 -9056 -5603],-3744,5312,-9056
[2153 -5597 -5786 7629],1843,-5786,7629
[-9932 -9810 6386 5319 -5366 4481],1020,6386,-5366
[5547 4131 4849 6000],11547,5547,6000
[1 3 5],4,1,3
[-507 -9699 5698 -5407],-4001,-9699,5698
[3686 5259 -604 7855],3082,3686,-604
[2752 -2348 -2113 -3249 1983 -911 -3434 3824 9713 -4484 1210 -6183 -1176 -3780 872 5677],1476,-2348,3824
[-9785 1969 -7281 -4289 2659 -9109 6591 2238],-5312,1969,-7281
[2535 -4553 -1555 -4401 7933],-1866,2535,-4401
[-9100 -1911 -2150 9609],-11011,-9100,-1911
[-3390 -9443 9105 -4615 7827 3078 -2702],10905,7827,3078
[3761 -1416 -3804],-43,3761,-3804
[-1805 8780 -614 -235 -5427 -39 1094 7554 -455 9838 7572 4739],7117,-455,7572
[-3932 4589 -276 1319 6830],1043,-276,1319
[6393 -420 -5923 9101],5973,6393,-420
[-9747 7882 1806 5531 -2057],5825,7882,-2057
[6002 -4825 -2300 9816 -3719 -6045 -7275 9232 -5412 7103 6609 -470 6156 -3316 -7700 -1739 1003 5738 -8888 6637],-1962,-7700,5738
[-8712 7876 6321 -541 7538],-836,-8712,7876
[237 410 -777],-367,410,-777
[7883 8975 -7696 -4546 -2857 6155 -6374 9058 639 -417 -6569 -9948 5091],2601,8975,-6374
[-5334 -6415 1923 733],-5682,-6415,733
[4933 -493 -5559 7094 3434 -8726 8444 -3957 -4222 -7185],-3751,3434,-7185
[-1 0 1],0,-1,1
[4331 7921 -7566 1805],6136,4331,1805
[-2156 2808 5575],8383,2808,5575
[2 -1945 -5601 8233 7229],8235,2,8233
[3174 -8792 -6758 -4497 -3264 -1690 8446 964],4138,3174,964
[2859 1122 -8998 4126],-6139,2859,-8998
[1583 -2809 8198 -4230 9911 6763 -4393 8249 -722 2159],7476,8198,-722
[-3596 -8618 914 1361 5563 -7627 1045 -4142 7038 4425 -8869 -1586 4753 3396 -5483 -231 -3158 2241],-2064,5563,-7627
[5589 9095 2200 -9135 -2562 4220 -6735 -7555 6771 9738 -3971 -563 1906 5094 -7087 -8289 3436 562 1220 9637],1348,-8289,9637
[1 3 5],8,3,5
[9492 -3791 -7317],-11108,-3791,-7317
[-310 -5786 5266 6166 1473 -1512 -7349 -8753 -2091 -4889 7821 8755 -3656],1277,6166,-4889
[4380 -3677 6922 -1678 1333 9740 -3350 5440 -6979 -289 -1639 2057 4321],14061,9740,4321
[1360 3363 -6058 -7899 420 5373 8606 -7974 -7333 -9447 -6276 -236 5416 -8504 -3521 -185 1873 4955 3999 -7799],-10854,-7333,-3521
[-2867 -5176 -5452 -986 4567 6388 -3013 -3612 -3079 -8166 -216],-11033,-2867,-8166
[1432 -1180 9488 7774],10920,1432,9488
[6911 -2501 433 -9851 3637 -6014 6599 -6859 -1036 5741 -3074 -103 -9184 4725],-8515,-2501,-6014
[-3048 5191],2143,-3048,5191
[4311 -6127 -1429 -8930 -1090 1067 3253 -4929 1207 -6931 -2364 -9894 3606],-222,-1429,1207
[14 -35 78],-21,14,-35
[237 410 -777],647,237,410
[-7831 -3001],-10832,-7831,-3001
[-8674 -8460 9370 -1750 -5400 5963 -2458 -6642 6468 6463],-4208,-1750,-2458
[-3405 2426 249 4789 4228 2946 8948 -5293 -269 4305 7293 -5309 9166 6886],7024,-269,7293
[-1 0 1],-1,-1,0
[-3290 -9812 -4630],-7920,-3290,-4630
[-6844 -1152 -7838 5872],-14682,-6844,-7838
[-7046 -984 3768 5026 -2366 5277 2080 8529 3653],10609,2080,8529
[-2976 537 7987],5011,-2976,7987
[-3525 8653 287 6999 3125 -8554 -8444 -8042 7058 9923 7223 -8884 -8572 1107 -8469 2815 6236 -514 -3287 -4378],5545,9923,-4378
